Species_Tissue;Time;Treatment;Value
50然_TR;14;Fe;2.113373925
50然_TR;14;Fe;-7.702359206
50然_TS;14;C;-38.03724481
50然_TS;14;C;-37.74093786
50然_TS;14;C;-37.29508252
50然_TS;14;C;-37.35554858
50然_TS;14;C;-36.74960342
50然_TS;14;P;-36.24157859
50然_TS;14;P;-34.94041819
50然_TS;14;P;-36.27887632
50然_TS;14;P;-36.33106181
50然_TS;14;P;-36.66057291
50然_TS;14;Fe;-37.35618855
50然_TS;14;Fe;-37.39482733
50然_TS;14;Fe;-36.16471435
50然_TS;14;Fe;-36.35820391
50然_TS;14;Fe;-37.61106251
50然_TR;17;C;-7.988286835
50然_TR;17;C;-19.16611387
50然_TR;17;C;-25.67664236
50然_TR;17;C;-24.89038938
50然_TR;17;C;-26.61963631
50然_TR;17;P;-18.51189545
50然_TR;17;P;43.89285771
50然_TR;17;P;-16.09059887
50然_TR;17;P;-9.07491763
50然_TR;17;P;-9.621436525
50然_TR;17;Fe;-1.315514668
50然_TR;17;Fe;-25.60752078
50然_TR;17;Fe;
50然_TR;17;Fe;-33.37335977
50然_TR;17;Fe;-15.19098919
50然_TS;17;C;-37.89036172
50然_TS;17;C;-37.28075209
50然_TS;17;C;-35.46539703
50然_TS;17;C;-38.26068209
50然_TS;17;C;-38.22390667
50然_TS;17;P;-36.26118191
50然_TS;17;P;-35.93463938
50然_TS;17;P;-36.00506357
50然_TS;17;P;-34.57538061
50然_TS;17;P;-35.48818316
50然_TS;17;Fe;-36.38700718
50然_TS;17;Fe;-37.5749366
50然_TS;17;Fe;-37.27200393
50然_TS;17;Fe;-36.49905054
50然_TS;17;Fe;-38.97379684
500然_TR;0;C;121.24687
500然_TR;0;C;145.6514617
500然_TR;0;C;114.6541642
500然_TR;0;C;151.4813978
500然_TR;0;C;184.8946495
500然_TR;0;P;186.2180144
500然_TR;0;P;219.6846194
500然_TR;0;P;39.37446993
500然_TR;0;P;36.60087064
500然_TR;0;P;116.214755
500然_TR;0;Fe;79.91477167
500然_TR;0;Fe;57.81276155
500然_TR;0;Fe;151.7588279
500然_TR;0;Fe;143.6981494
500然_TR;0;Fe;253.1502205
500然_TS;0;C;-33.34811322
500然_TS;0;C;-34.15016004
500然_TS;0;C;-33.87978602
500然_TS;0;C;-34.46513371
500然_TS;0;C;-33.05185187
500然_TS;0;P;-35.11903932
500然_TS;0;P;-34.47923433
500然_TS;0;P;-34.81658337
500然_TS;0;P;-33.69166314
500然_TS;0;P;-35.0703339
500然_TS;0;Fe;-34.99674064
500然_TS;0;Fe;-34.99638701
500然_TS;0;Fe;-34.31287178
500然_TS;0;Fe;-34.87490357
500然_TS;0;Fe;-34.41504646
500然_TR;3;C;31.51753088
500然_TR;3;C;288.2535941
500然_TR;3;C;223.9866475
500然_TR;3;C;192.7920281
500然_TR;3;C;100.6611103
500然_TR;3;P;310.4339167
500然_TR;3;P;177.9124379
500然_TR;3;P;254.5811148
500然_TR;3;P;284.7357196
500然_TR;3;P;287.0855447
500然_TR;3;Fe;384.9887399
500然_TR;3;Fe;235.8746555
500然_TR;3;Fe;321.8702425
500然_TR;3;Fe;49.10999456
500然_TR;3;Fe;331.3462632
500然_TS;3;C;-36.25514714
500然_TS;3;C;-35.93145414
500然_TS;3;C;-36.34961398
500然_TS;3;C;-36.16671111
500然_TS;3;C;-36.04462527
500然_TS;3;P;-36.15824491
500然_TS;3;P;-36.20742892
500然_TS;3;P;-34.10299183
500然_TS;3;P;-36.13765601
500然_TS;3;P;-36.41904971
500然_TS;3;Fe;-35.71149593
500然_TS;3;Fe;-36.31851416
500然_TS;3;Fe;-35.82865583
500然_TS;3;Fe;-35.54250734
500然_TS;3;Fe;-35.44334348
500然_TR;7;C;27.55295286
500然_TR;7;C;159.7486906
500然_TR;7;C;40.54902184
500然_TR;7;C;74.23214082
500然_TR;7;C;202.9184298
500然_TR;7;P;157.8597626
500然_TR;7;P;136.3954877
500然_TR;7;P;52.21103361
500然_TR;7;P;107.4276009
500然_TR;7;P;136.2571128
500然_TR;7;Fe;131.7626302
500然_TR;7;Fe;178.8231871
500然_TR;7;Fe;0.406959052
500然_TR;7;Fe;172.6066249
500然_TR;7;Fe;148.3325978
500然_TS;7;C;-35.55938971
500然_TS;7;C;-34.48916709
500然_TS;7;C;-34.35010648
500然_TS;7;C;-36.23449598
500然_TS;7;C;-34.73875709
500然_TS;7;P;-35.90980035
500然_TS;7;P;-34.76820331
500然_TS;7;P;-35.43927068
500然_TS;7;P;-34.84276074
500然_TS;7;P;-34.34310431
500然_TS;7;Fe;-35.38236512
500然_TS;7;Fe;-33.40194568
500然_TS;7;Fe;-35.20250796
500然_TS;7;Fe;-31.92681245
500然_TS;7;Fe;-34.5767251
500然_TR;10;C;11.90099581
500然_TR;10;C;21.25717753
500然_TR;10;C;115.5419369
500然_TR;10;C;10.74082481
500然_TR;10;C;16.01855766
500然_TR;10;P;176.5316508
500然_TR;10;P;98.46011682
500然_TR;10;P;133.5427848
500然_TR;10;P;99.4886476
500然_TR;10;P;141.2554235
500然_TR;10;Fe;33.11577809
500然_TR;10;Fe;22.42054321
500然_TR;10;Fe;57.77125389
500然_TR;10;Fe;76.73316639
500然_TR;10;Fe;16.33604268
500然_TS;10;C;-36.52111251
500然_TS;10;C;-37.13820679
500然_TS;10;C;-36.49422274
500然_TS;10;C;-36.79079363
500然_TS;10;C;-37.3677294
500然_TS;10;P;-36.06585128
500然_TS;10;P;-34.49849881
500然_TS;10;P;-35.74075293
500然_TS;10;P;-36.58864316
500然_TS;10;P;-35.79099877
500然_TS;10;Fe;-32.25499097
500然_TS;10;Fe;-34.13915291
500然_TS;10;Fe;-35.05829388
500然_TS;10;Fe;-35.80948884
500然_TS;10;Fe;-37.02697483
500然_TR;14;C;45.67073813
500然_TR;14;C;72.02610687
500然_TR;14;C;62.8363626
500然_TR;14;C;40.02551422
500然_TR;14;C;27.45890747
500然_TR;14;P;78.70135409
500然_TR;14;P;62.96070387
500然_TR;14;P;39.91916223
500然_TR;14;P;51.77244155
500然_TR;14;P;19.32097548
500然_TR;14;Fe;37.60449876
500然_TR;14;Fe;100.4230425
500然_TR;14;Fe;69.07601886
500然_TR;14;Fe;18.01336741
500然_TR;14;Fe;45.50876301
500然_TS;14;C;-35.84131647
500然_TS;14;C;-35.35925474
500然_TS;14;C;-35.94653598
500然_TS;14;C;-36.12419168
500然_TS;14;C;-36.21097214
500然_TS;14;P;-34.21734632
500然_TS;14;P;-33.61402701
500然_TS;14;P;-33.45028269
500然_TS;14;P;-33.507182
500然_TS;14;P;-34.26548179
500然_TS;14;Fe;-34.25851196
500然_TS;14;Fe;-34.10792883
500然_TS;14;Fe;-35.22599816
500然_TS;14;Fe;-34.25470413
500然_TS;14;Fe;-33.89082685
500然_TR;17;C;11.34962792
500然_TR;17;C;24.68337599
500然_TR;17;C;30.93893515
500然_TR;17;C;78.86834453
500然_TR;17;C;38.30333108
500然_TR;17;P;21.19761387
500然_TR;17;P;-2.480333048
500然_TR;17;P;104.1395404
500然_TR;17;P;41.23694523
500然_TR;17;P;64.12811336
500然_TR;17;Fe;7.877682411
500然_TR;17;Fe;
500然_TR;17;Fe;99.53007941
500然_TR;17;Fe;47.26037955
500然_TR;17;Fe;39.78416456
500然_TS;17;C;-36.06992887
500然_TS;17;C;-37.79356925
500然_TS;17;C;-36.90209643
500然_TS;17;C;-36.39672812
500然_TS;17;C;-37.51459999
500然_TS;17;P;-34.19178165
500然_TS;17;P;-33.64459576
500然_TS;17;P;-33.27609705
500然_TS;17;P;-32.95692762
500然_TS;17;P;-34.61446196
500然_TS;17;Fe;-36.99910453
500然_TS;17;Fe;-33.14043714
500然_TS;17;Fe;-29.00738249
500然_TS;17;Fe;-32.17448915
500然_TS;17;Fe;-35.20251454
