Time;Treatment;Species_Tissue;Value
7;C;0microM_TS;1038
7;C;0microM_TS;1568
7;C;0microM_TS;855
7;C;0microM_TS;847
7;C;50microM_TS;401
7;C;50microM_TS;397
7;C;50microM_TS;456
7;C;50microM_TS;381
7;C;50microM_TS;410
7;C;500microM_TS;978
7;C;500microM_TS;687
7;C;500microM_TS;759
7;C;500microM_TS;641
7;C;500microM_TS;1371
7;P;0microM_TS;314
7;P;0microM_TS;293
7;P;0microM_TS;437
7;P;0microM_TS;424
7;P;0microM_TS;514
7;P;50microM_TS;534
7;P;50microM_TS;567
7;P;50microM_TS;564
7;P;50microM_TS;336
7;P;50microM_TS;432
7;P;500microM_TS;400
7;P;500microM_TS;390
7;P;500microM_TS;452
7;P;500microM_TS;363
7;P;500microM_TS;434
7;Fe;0microM_TS;260
7;Fe;0microM_TS;427
7;Fe;0microM_TS;641
7;Fe;0microM_TS;716
7;Fe;0microM_TS;292
7;Fe;50microM_TS;501
7;Fe;50microM_TS;520
7;Fe;50microM_TS;237
7;Fe;50microM_TS;580
7;Fe;50microM_TS;530
7;Fe;500microM_TS;718
7;Fe;500microM_TS;504
7;Fe;500microM_TS;437
7;Fe;500microM_TS;505
7;Fe;500microM_TS;457
10;C;0microM_TS;2118
10;C;0microM_TS;2022
10;C;0microM_TS;1822
10;C;0microM_TS;2962
10;C;0microM_TS;1051
10;C;50microM_TS;2225
10;C;50microM_TS;1496
10;C;50microM_TS;1307
10;C;50microM_TS;1438
10;C;50microM_TS;2026
10;C;500microM_TS;1684
10;C;500microM_TS;1453
10;C;500microM_TS;2986
10;C;500microM_TS;1567
10;C;500microM_TS;2219
10;P;0microM_TS;267
10;P;0microM_TS;573
10;P;0microM_TS;628
10;P;0microM_TS;489
10;P;0microM_TS;584
10;P;50microM_TS;743
10;P;50microM_TS;782
10;P;50microM_TS;699
10;P;50microM_TS;547
10;P;50microM_TS;419
10;P;500microM_TS;436
10;P;500microM_TS;876
10;P;500microM_TS;617
10;P;500microM_TS;643
10;P;500microM_TS;380
10;Fe;0microM_TS;608
10;Fe;0microM_TS;677
10;Fe;0microM_TS;1467
10;Fe;0microM_TS;879
10;Fe;0microM_TS;894
10;Fe;50microM_TS;790
10;Fe;50microM_TS;1112
10;Fe;50microM_TS;1072
10;Fe;50microM_TS;1031
10;Fe;50microM_TS;1776
10;Fe;500microM_TS;679
10;Fe;500microM_TS;700
10;Fe;500microM_TS;1158
10;Fe;500microM_TS;912
10;Fe;500microM_TS;646
14;C;0microM_TS;4929
14;C;0microM_TS;6440
14;C;0microM_TS;5518
14;C;0microM_TS;6462
14;C;0microM_TS;6464
14;C;50microM_TS;3284
14;C;50microM_TS;3847
14;C;50microM_TS;7107
14;C;50microM_TS;3863
14;C;50microM_TS;6760
14;C;500microM_TS;5312
14;C;500microM_TS;4945
14;C;500microM_TS;6731
14;C;500microM_TS;4844
14;C;500microM_TS;5552
14;P;0microM_TS;572
14;P;0microM_TS;617
14;P;0microM_TS;560
14;P;0microM_TS;693
14;P;0microM_TS;360
14;P;50microM_TS;635
14;P;50microM_TS;406
14;P;50microM_TS;787
14;P;50microM_TS;627
14;P;50microM_TS;343
14;P;500microM_TS;638
